,TB-000005-D1WPLL,TB-000018-D1WBLL,TB-000023-D1WBLL,TB-000025-D1WBLL,TB-000038-D1WBLL,TB-000042-D1BBLL,TB-000048-D1BBLL,TB-000048-D1WBLL,TB-000054-D1WBLL,TB-000071-D1WPLL,TB-000115-D1WPLL,TB-000174-D1WPLL,TB-000177-D1WBLL,TB-000191-D1WBLL,TB-000192-D1WBLL,TB-000195-D1WBLL,TB-000203-D1WBLL
A1BG,466.970763185014,352.114239338942,481.480610849486,403.016618324685,310.310094924497,206.00831539648,298.081324957932,302.747714238721,297.433456814715,875.456407902463,526.37761799968,478.660624802829,471.476287799582,1005.49312046457,830.886122229252,400.342735654672,618.152642890929
NAT2,0,4,7,1,0,0,0,1,0,0,1,0,0,0,5,0,2
ADA,134,15,26,14,12,13,23,22,29,6125,5267,8295,7897,15435,1731,2290,2769
CDH2,1.01866368293451,0,1,3,4.00694306391999,1,1,5.00533279579993,4,5.01872524551189,12.009333445368,2.00012041192447,15.0113531228074,17,19.1275946034193,1933.31105424299,6.0520739778064
AKT3,125.498069934707,138.77545976313,232.108137306952,156.615143893471,191.503470105204,95.9152442369156,176.770584425386,190.97266558896,119.306526594032,506.50632159002,3280.97278402739,298.418426707344,1245.74502825418,2082.01050566058,2228.20642467644,2909.97424329138,1312.01386345633
GAGE1,1,0,0,0,0,0,0,0,0,0,0,0,2.62653039864945,0,0,0,0
ZBTB11-AS1,526.838379211429,534.967581695,778.765448215703,709.38495828206,571.448476251185,401.256808861504,368.889953354603,338.399322993731,467.519263073719,493.423971972734,257.350684609526,296.834366595031,236.589069955945,251.718281492191,528.066899365072,239.366724372139,265.226332165316
MED6,6.43886619852397,20.7024936247131,26.8361048719767,18.6638982766888,15.7909975452206,13.7750422140125,26.8736250971215,12.1197265741876,14.1671267300876,1589.97474626311,2365.61276436834,1610.85632038512,2295.72291147764,2969.20580274358,3874.87222931093,3442.81887380206,3929.49191767672
NR2E3,21,19.9939965991526,30,21,28.7052169342811,32.8415897736464,20,23.2227076877697,7,2,1,2,9,3,2,4,5
NAALAD2,52.1112759002304,92,129.16688134644,165,59,65.0776006120836,46.1043915259042,36,58,13.8316616461487,17.6823793810681,3.04302336957367,9.06125117938348,3.01142222642417,21.8394086087088,14.0627790682009,4.05407793463132
SNORD116-1,0,0,0,0,0,0,0,0,0,1.60576033165493,2.06605301394623,9.66314224252912,0.939998737208962,12.4462232300712,12.8405020664136,10.9679419186474,39.0863774965566
SNORD116-2,0,0,0,0,0,0,0,0,0,3.4585123431336,0.927819701499202,6.82899602598978,0.731422124791958,0.406708725512688,12.8251692915043,6.03190438086568,33.5521420949757
SNORD116-3,0,0,0,0,0.475413310972458,0,0,0,0,10.2165138955488,2.6201760726258,30.1089022196226,0.925485304892327,2.93745046874851,17.4409787042197,26.1735293986961,60.213448271907
SNORD116-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNORD116-5,0,0,0,0,0,0,0,0,0,0,0,0.51357380554622,0,0,0,1.48622707329987,3.33202709757669
SNORD116-6,0,0,0,0,0,0,0,0,0,4.11306594960501,0,3.50999291036032,0.00942959294386771,7.49488981627094,0,0.540887505994704,8.54508117855176
SNORD116-7,0,0,0,0,0,0,0,0,0,0,0,0.51357380554622,0,0,0,1.48622707329987,3.33202709757669
SNORD116-8,0,0,0,0,0,0,0,0,0,9.44850033596992,2.95405942465429,20.640948738998,0.994216955860014,9.84690883579478,20.5542296598141,13.6985141453949,68.5126270763971
SNORD116-9,0,0,0,0,0.475413310972458,0,0,0,0,10.2165138955488,2.6201760726258,30.1089022196226,0.925485304892327,2.93745046874851,17.4409787042197,26.1735293986961,60.213448271907
SNORD116-10,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,6
SNORD116-11,0,0,0,0,0,0,0,0,0,6,0,1,0,0,13,6,8
SNORD116-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNORD116-13,0,0,0,0,0,0,0,0,0,0,0.260127473123779,1.45726522981378,0,0.571815884360372,1.10987388521233,0,0.324751392043947
SNORD116-14,0,0,0,0,0,0,0,0,0,0.634455408700057,0.501026096463334,4.74958959364756,0,0,0,0.543797625109442,7.52376988583125
SNORD116-15,0,0,0,0,0,0,0,0,0,20.9035962576269,2.88483946139825,16.4491379799223,0.997765332982442,3.87323954350974,16.3400091131463,27.6363928243466,87.9337361356083
SNORD116-16,0,0,0,0,0,0,0,0,0,22.8718267067237,4.45551701723907,19.003673711408,0,17.7339153696967,7.34130282276423,20.0302790678215,66.7340710580944
SNORD116-18,0,0,0,0,0,0,0,0,0,0,6.52960775076171,24.5096817216884,2.74221152907474,0,0,43.3881384562331,0
SNORD116-22,0,0,0,0,1.86214345555339,0,0,0,0,12.0904566779952,6.98840194776954,21.154295615115,0,1.37574951349384,2.00461208267676,24.5437911272582,40.6539217485647
SNORD116-23,0,0,0,0,0,0,0,0,0,0,2.95537382195379,0.967763746225119,1.99520648085746,0,1.97960043535902,1.89609674684767,7.91828809176267
SNORD116-24,0,0,0,0,0,0,0,0,0,2.90145042877283,0,14.9965015619581,2.94467505388539,0.197207119944749,12.4438409233463,18.0698651130815,34.6989537454695
SNORD116-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.971905122925949,0,0
SNORD115-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNORD116-26,0,0,0,0,0,0,0,0,0,0,0,2.50780016292974,0,0.343488854316632,0,0,0
SNORD116-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNORD115-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SNORD115-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNORD115-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNORD115-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNORD115-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
