Master,Protein FDR Confidence: Combined,Accession,Gene Symbol,Description,# Peptides,# PSMs,"Abundance Ratio: (BLL, Diseased) / (BLL, Normal)","Abundance Ratio: (PLL, Diseased) / (BLL, Diseased)","Abundance Ratio: (PLL, Normal) / (BLL, Normal)","Abundance Ratio: (PLL, Diseased) / (PLL, Normal)","Abundance Ratio (log2): (BLL, Diseased) / (BLL, Normal)","Abundance Ratio (log2): (PLL, Diseased) / (BLL, Diseased)","Abundance Ratio (log2): (PLL, Normal) / (BLL, Normal)","Abundance Ratio (log2): (PLL, Diseased) / (PLL, Normal)","Abundance Ratio P-Value: (BLL, Diseased) / (BLL, Normal)","Abundance Ratio P-Value: (PLL, Diseased) / (BLL, Diseased)","Abundance Ratio P-Value: (PLL, Normal) / (BLL, Normal)","Abundance Ratio P-Value: (PLL, Diseased) / (PLL, Normal)","Abundances (Grouped): BLL, Diseased","Abundances (Grouped): BLL, Normal","Abundances (Grouped): PLL, Diseased","Abundances (Grouped): PLL, Normal","Abundances (Grouped) Count: BLL, Diseased","Abundances (Grouped) Count: BLL, Normal","Abundances (Grouped) Count: PLL, Diseased","Abundances (Grouped) Count: PLL, Normal","Abundances (Normalized): F1: Sample, BLL, Diseased","Abundances (Normalized): F3: Sample, BLL, Diseased","Abundances (Normalized): F5: Sample, BLL, Diseased","Abundances (Normalized): F7: Sample, BLL, Diseased","Abundances (Normalized): F9: Sample, BLL, Diseased","Abundances (Normalized): F2: Sample, BLL, Normal","Abundances (Normalized): F4: Sample, BLL, Normal","Abundances (Normalized): F6: Sample, BLL, Normal","Abundances (Normalized): F8: Sample, BLL, Normal","Abundances (Normalized): F10: Sample, BLL, Normal","Abundances (Normalized): F11: Sample, PLL, Diseased","Abundances (Normalized): F13: Sample, PLL, Diseased","Abundances (Normalized): F15: Sample, PLL, Diseased","Abundances (Normalized): F17: Sample, PLL, Diseased","Abundances (Normalized): F19: Sample, PLL, Diseased","Abundances (Normalized): F12: Sample, PLL, Normal","Abundances (Normalized): F14: Sample, PLL, Normal","Abundances (Normalized): F16: Sample, PLL, Normal","Abundances (Normalized): F18: Sample, PLL, Normal","Abundances (Normalized): F20: Sample, PLL, Normal","Abundance: F1: Sample, BLL, Diseased","Abundance: F3: Sample, BLL, Diseased","Abundance: F5: Sample, BLL, Diseased","Abundance: F7: Sample, BLL, Diseased","Abundance: F9: Sample, BLL, Diseased","Abundance: F2: Sample, BLL, Normal","Abundance: F4: Sample, BLL, Normal","Abundance: F6: Sample, BLL, Normal","Abundance: F8: Sample, BLL, Normal","Abundance: F10: Sample, BLL, Normal","Abundance: F11: Sample, PLL, Diseased","Abundance: F13: Sample, PLL, Diseased","Abundance: F15: Sample, PLL, Diseased","Abundance: F17: Sample, PLL, Diseased","Abundance: F19: Sample, PLL, Diseased","Abundance: F12: Sample, PLL, Normal","Abundance: F14: Sample, PLL, Normal","Abundance: F16: Sample, PLL, Normal","Abundance: F18: Sample, PLL, Normal","Abundance: F20: Sample, PLL, Normal",Exp. q-value: Combined,Contaminant,Sum PEP Score,Coverage [%],# Unique Peptides,# AAs,MW [kDa],calc. pI,# Peptides (by Search Engine): Sequest HT,Biological Process,Cellular Component,Pfam IDs,Entrez Gene ID,Gene ID,Ensembl Gene ID,Reactome Pathways,WikiPathways,# Protein Pathway Groups,# Razor Peptides,"Abundances (Grouped) CV [%]: BLL, Diseased","Abundances (Grouped) CV [%]: BLL, Normal","Abundances (Grouped) CV [%]: PLL, Diseased","Abundances (Grouped) CV [%]: PLL, Normal","Found in Sample: F1: Sample, BLL, Diseased","Found in Sample: F3: Sample, BLL, Diseased","Found in Sample: F5: Sample, BLL, Diseased","Found in Sample: F7: Sample, BLL, Diseased","Found in Sample: F9: Sample, BLL, Diseased","Found in Sample: F2: Sample, BLL, Normal","Found in Sample: F4: Sample, BLL, Normal","Found in Sample: F6: Sample, BLL, Normal","Found in Sample: F8: Sample, BLL, Normal","Found in Sample: F10: Sample, BLL, Normal","Found in Sample: F11: Sample, PLL, Diseased","Found in Sample: F13: Sample, PLL, Diseased","Found in Sample: F15: Sample, PLL, Diseased","Found in Sample: F17: Sample, PLL, Diseased","Found in Sample: F19: Sample, PLL, Diseased","Found in Sample: F12: Sample, PLL, Normal","Found in Sample: F14: Sample, PLL, Normal","Found in Sample: F16: Sample, PLL, Normal","Found in Sample: F18: Sample, PLL, Normal","Found in Sample: F20: Sample, PLL, Normal",# Protein Groups,Modifications,Checked,"Abundance Ratio Variability [%]: (BLL, Diseased) / (BLL, Normal)","Abundance Ratio Variability [%]: (PLL, Diseased) / (BLL, Diseased)","Abundance Ratio Variability [%]: (PLL, Normal) / (BLL, Normal)","Abundance Ratio Variability [%]: (PLL, Diseased) / (PLL, Normal)",Score Sequest HT: Sequest HT,Molecular Function,Phospho (S; T; Y) Count,Phospho (S; T; Y) Positions
Master Protein,High,Q07812,BAX,Apoptosis regulator BAX OS=Homo sapiens OX=9606 GN=BAX PE=1 SV=1,1,5,100,0.01,100,0.01,6.64,-6.64,6.64,-6.64,1.00E-17,1.00E-17,1.00E-17,1.00E-17,2.78E+05,,,1.08E+06,1,,,3,2.78E+05,,,,,,,,,,,,,,,1.08E+06,1.12E+05,1.20E+06,,,1.10E+03,,,,,,,,,,,,,,,2.10E+03,3.15E+04,8.53E+03,,,0,FALSE,4.686,7,1,192,21.2,5.22,1,cell cycle OR cell proliferation;cell organization and biogenesis;other metabolic processes;stress response;transport;developmental processes;signal transduction;other biological processes,other membranes;cytosol;mitochondrion;ER/Golgi;nucleus;other cell component,Pf00452,581,A8K4W1; hsa:581; P55269; Q07812; Q07814; Q07815; Q8WZ49; Q9NR76; Q9NYG7; Q9UCZ6; Q9UCZ7; Q9UQD6,ENSG00000087088,"TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest; Transcriptional regulation by RUNX2; TP53 Regulates Transcription of Genes Involved in Cytochrome C Release; Release of apoptotic factors from the mitochondria; Pyroptosis; Activation, translocation and oligomerization of BAX; NTRK3 as a dependence receptor",miRNA regulation of DNA damage response; TP53 network; Leptin signaling pathway; TNF-alpha signaling pathway; Amyotrophic lateral sclerosis (ALS); Nanomaterial induced apoptosis; Apoptosis; Mammary gland development pathway - Involution (Stage 4 of 4); Aryl hydrocarbon receptor pathway; Nuclear receptors meta-pathway; Overview of nanoparticle effects; RAC1/PAK1/p38/MMP2 pathway; Photodynamic therapy-induced AP-1 survival signaling; Photodynamic therapy-induced HIF-1 survival signaling; Regulation of apoptosis by parathyroid hormone-related protein; miRNA regulation of p53 pathway in prostate cancer; Endometrial cancer; Chromosomal and microsatellite instability in colorectal cancer ; Non-small cell lung cancer; Breast cancer pathway; Pancreatic adenocarcinoma pathway; Acute viral myocarditis; Nonalcoholic fatty liver disease; Measles virus infection; Small cell lung cancer; Hepatitis B infection; Melanoma; IL-18 signaling pathway; EGFR tyrosine kinase inhibitor resistance; Regucalcin in proximal tubule epithelial kidney cells; Host-pathogen interaction of human coronaviruses - apoptosis; Peroxiredoxin 2 induced ovarian failure; p53 transcriptional gene network; Pleural mesothelioma; Complement system in neuronal development and plasticity; Urotensin-II-mediated signaling pathway; TROP2 regulatory signaling; IL-26 signaling pathways; HDAC6 interactions in the central nervous system; DNA damage response; DNA damage response (only ATM dependent),48,0,,,,74.83,Peak Found,High,n/a,High,n/a,n/a,Peak Found,Peak Found,n/a,n/a,Peak Found,n/a,n/a,High,n/a,Peak Found,High,Peak Found,n/a,n/a,1,,FALSE,,,,,13.49,transporter activity;other molecular function,0,
Master Protein,High,Q96E11,MRRF,"Ribosome-recycling factor, mitochondrial OS=Homo sapiens OX=9606 GN=MRRF PE=1 SV=1",1,2,100,0.473,100,1.429,6.64,-1.08,6.64,0.52,1.00E-17,6.97E-01,1.00E-17,5.93E-01,7.23E+04,,5.46E+04,2.25E+04,2,,4,4,,,,1.19E+05,4.41E+04,,,,,,,5.63E+04,5.60E+04,1.84E+04,5.32E+04,,4.43E+03,1.49E+05,7.40E+03,6.86E+04,,,,1.19E+05,2.27E+03,,,,,,,2.52E+03,4.55E+02,2.48E+03,1.32E+03,,1.24E+03,1.06E+03,1.73E+02,7.30E+02,0.004,FALSE,2.562,3,1,262,29.3,9.79,1,cell organization and biogenesis;protein metabolism;other metabolic processes,mitochondrion,Pf01765,92399,A8K6D8; A8K6Z4; B7Z4X5; B7Z6P7; hsa:92399; Q5RKT1; Q5T7T0; Q5T7T1; Q5T7T2; Q5T7T3; Q5T7T4; Q5T7T5; Q96E11,ENSG00000148187,Mitochondrial translation termination,,1,0,64.86,,40.09,118.46,n/a,n/a,n/a,High,Peak Found,n/a,n/a,n/a,n/a,n/a,n/a,Peak Found,Peak Found,Peak Found,Peak Found,n/a,Peak Found,Peak Found,Peak Found,Peak Found,1,,FALSE,,54.86,,127.95,4.93,translation activity,0,
Master Protein,High,P18577,RHCE,Blood group Rh(CE) polypeptide OS=Homo sapiens OX=9606 GN=RHCE PE=1 SV=2,1,1,100,0.909,100,0.403,6.64,-0.14,6.64,-1.31,1.00E-17,7.95E-01,1.00E-17,5.81E-01,8.22E+04,,7.48E+04,1.85E+05,1,,4,1,,,,8.22E+04,,,,,,,1.92E+05,8.65E+04,,4.42E+04,6.46E+04,,1.85E+05,,,,,,,8.22E+04,,,,,,,1.15E+03,3.86E+03,,5.95E+03,1.61E+03,,5.21E+04,,,,0,FALSE,4.462,4,1,417,45.5,9.36,1,transport,plasma membrane;other membranes,Pf00909,,A0A220QMM7,,,,0,0,,,67.82,,n/a,n/a,n/a,Peak Found,n/a,n/a,n/a,n/a,n/a,n/a,Peak Found,Peak Found,n/a,Peak Found,Peak Found,n/a,High,n/a,n/a,n/a,1,,FALSE,,56.84,,56.84,4.2,transporter activity,0,
Master Protein,High,Q5RKV6,EXOSC6,Exosome complex component MTR3 OS=Homo sapiens OX=9606 GN=EXOSC6 PE=1 SV=1,1,1,100,0.604,,100,6.64,-0.73,,6.64,1.00E-17,8.75E-01,,1.00E-17,1.29E+05,,7.76E+04,,1,,1,,,,,1.29E+05,,,,,,,,,,7.76E+04,,,,,,,,,,1.29E+05,,,,,,,,,,1.05E+04,,,,,,,0.002,FALSE,3.033,6,1,272,28.2,6.28,1,DNA metabolism;RNA metabolism OR transcription;other metabolic processes;developmental processes;other biological processes,cytosol;nucleus;other cytoplasmic organelle;other cell component,Pf01138,118460,hsa:118460; Q5RKV6,ENSG00000223496,"Major pathway of rRNA processing in the nucleolus and cytosol; ATF4 activates genes in response to endoplasmic reticulum  stress; KSRP (KHSRP) binds and destabilizes mRNA; Tristetraprolin (TTP, ZFP36) binds and destabilizes mRNA; Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA; mRNA decay by 3' to 5' exoribonuclease",,6,0,,,,,n/a,n/a,n/a,High,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Peak Found,n/a,n/a,n/a,n/a,n/a,n/a,1,,FALSE,,0,,,3.16,,0,
Master Protein,High,E9PFW3,AP2M1,AP-2 complex subunit mu OS=Homo sapiens OX=9606 GN=AP2M1 PE=1 SV=1,2,2,100,0.77,100,0.335,6.64,-0.38,6.64,-1.58,1.00E-17,9.15E-01,1.00E-17,4.45E-01,4.95E+05,,3.81E+05,1.67E+06,1,,4,1,,,,4.95E+05,,,,,,,5.66E+05,2.03E+05,,2.02E+06,2.57E+05,,1.67E+06,,,,,,,4.95E+05,,,,,,,3.38E+03,9.06E+03,,2.72E+05,6.39E+03,,4.68E+05,,,,0,FALSE,9.168,7,2,460,52.3,9.5,2,transport,plasma membrane;other membranes,Pf00928,1173,E9PFW3,ENSG00000161203,,Synaptic vesicle pathway; GABA receptor signaling; EGF/EGFR signaling pathway; Fragile X syndrome; GDNF signaling,5,0,,,112.15,,n/a,n/a,n/a,Peak Found,n/a,n/a,n/a,n/a,n/a,n/a,Peak Found,Peak Found,n/a,Peak Found,Peak Found,n/a,High,n/a,n/a,n/a,1,,FALSE,,95.9,,95.9,7.47,other molecular function,0,
Master Protein,High,Q9Y3A4,RRP7A,Ribosomal RNA-processing protein 7 homolog A OS=Homo sapiens OX=9606 GN=RRP7A PE=1 SV=2,1,1,100,0.01,,,6.64,-6.64,,,1.00E-17,1.00E-17,,,3.35E+05,,,,1,,,,,,,3.35E+05,,,,,,,,,,,,,,,,,,,,3.35E+05,,,,,,,,,,,,,,,,,0,FALSE,5.609,9,1,280,32.3,9.58,1,cell organization and biogenesis;RNA metabolism OR transcription;other metabolic processes;developmental processes;other biological processes,cytoskeleton;nucleus;other cell component,"Pf12923, Pf17799",27341,A4FTX2; B2RBG4; hsa:27341; Q0VAD0; Q5JZ94; Q6P4B5; Q8IVR9; Q8IVY0; Q8N5Q3; Q8NEY6; Q9Y3A4; Q9Y3H5,ENSG00000189306,rRNA modification in the nucleus and cytosol; Major pathway of rRNA processing in the nucleolus and cytosol,,2,0,,,,,n/a,n/a,n/a,High,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,,FALSE,,,,,4.69,,0,
Master Protein,High,P42574,CASP3,Caspase-3 OS=Homo sapiens OX=9606 GN=CASP3 PE=1 SV=2,1,2,100,0.01,,,6.64,-6.64,,,1.00E-17,1.00E-17,,,1.02E+06,,,,1,,,,,,,,1.02E+06,,,,,,,,,,,,,,,,,,,,5.27E+04,,,,,,,,,,,,,,,,0,FALSE,8.072,8,1,277,31.6,6.54,1,cell organization and biogenesis;protein metabolism;other metabolic processes;stress response;developmental processes;signal transduction;other biological processes,plasma membrane;other membranes;cytosol;nucleus;other cell component,Pf00656,836,A8K5M2; D3DP53; hsa:836; P42574; Q96AN1; Q96KP2,ENSG00000164305,Degradation of the extracellular matrix; Apoptosis induced DNA fragmentation; Signaling by Hippo; Activation of caspases through apoptosome-mediated cleavage; SMAC (DIABLO) binds to IAPs ; SMAC(DIABLO)-mediated dissociation of IAP:caspase complexes ; Caspase activation via Dependence Receptors in the absence of ligand; Pyroptosis; Caspase-mediated cleavage of cytoskeletal proteins; NADE modulates death signalling; Other interleukin signaling; Apoptotic cleavage of cell adhesion  proteins; Stimulation of the cell death response by PAK-2p34,miRNA regulation of DNA damage response; Prolactin signaling pathway; Alzheimer's disease and miRNA effects; TNF-alpha signaling pathway; AGE/RAGE pathway; Allograft rejection; Corticotropin-releasing hormone signaling pathway; Parkinson's disease pathway; Oncostatin M signaling pathway; Brain-derived neurotrophic factor (BDNF) signaling pathway; Spinal cord injury; Amyotrophic lateral sclerosis (ALS); Nanomaterial induced apoptosis; Apoptosis; Fas ligand pathway and stress induction of heat shock proteins; Copper homeostasis; Hepatitis C and hepatocellular carcinoma; MAPK signaling pathway; Apoptosis modulation by HSP70; ERK pathway in Huntington's disease; Oxidative damage response; miRNA regulation of p53 pathway in prostate cancer; Prion disease pathway; Chromosomal and microsatellite instability in colorectal cancer ; Non-small cell lung cancer; MTHFR deficiency; Acute viral myocarditis; Nonalcoholic fatty liver disease; Measles virus infection; Small cell lung cancer; Gastrin signaling pathway; Hepatitis B infection; Netrin-UNC5B signaling pathway; IL-18 signaling pathway; Host-pathogen interaction of human coronaviruses - apoptosis; Peroxiredoxin 2 induced ovarian failure; Complement system in neuronal development and plasticity; Orexin receptor pathway; Network map of SARS-CoV-2 signaling pathway; Alzheimer's disease; Urotensin-II-mediated signaling pathway; DYRK1A involvement regarding cell proliferation in brain development; IL-26 signaling pathways; Sudden infant death syndrome (SIDS) susceptibility pathways; DNA damage response,60,0,,,,,n/a,n/a,n/a,n/a,High,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,,FALSE,,,,,7.22,signal transduction activity or receptor binding;enzyme regulator activity;other molecular function,0,
Master Protein,High,C9JPP3,RBBP4,"RB binding protein 4, chromatin remodeling factor (Fragment) OS=Homo sapiens OX=9606 GN=RBBP4 PE=1 SV=2",3,6,100,1.71,100,4.01,6.64,0.77,6.64,2,1.00E-17,1.11E-01,1.00E-17,1.58E-01,7.15E+05,,1.22E+06,3.05E+05,1,,3,1,,,,7.15E+05,,,,,,,,9.54E+05,,1.22E+06,1.54E+06,,3.05E+05,,,,,,,7.15E+05,,,,,,,,4.26E+04,,1.65E+05,3.82E+04,,8.56E+04,,,,0,FALSE,17.591,84,1,87,9.7,4.94,3,,,Pf12265,,C9JPP3,ENSG00000162521,,Interactome of polycomb repressive complex 2 (PRC2) ; Tumor suppressor activity of SMARCB1; Epithelial to mesenchymal transition in colorectal cancer; Effect of progerin on genes involved in progeria; Pleural mesothelioma; DYRK1A involvement regarding cell proliferation in brain development,6,0,,,23.63,,n/a,n/a,n/a,Peak Found,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Peak Found,n/a,High,Peak Found,n/a,Peak Found,n/a,n/a,n/a,1,,FALSE,,32.55,,32.55,20.08,,0,
Master Protein,High,Q8TDD1,DDX54,ATP-dependent RNA helicase DDX54 OS=Homo sapiens OX=9606 GN=DDX54 PE=1 SV=2,2,3,100,0.233,,100,6.64,-2.1,,6.64,1.00E-17,2.37E-01,,1.00E-17,1.57E+05,,3.66E+04,,2,,1,,,,,6.87E+04,3.59E+05,,,,,,,,,3.66E+04,,,,,,,,,,6.87E+04,1.85E+04,,,,,,,,,4.93E+03,,,,,,,0,FALSE,9.767,4,2,881,98.5,10.02,2,RNA metabolism OR transcription;other metabolic processes;signal transduction;other biological processes,ER/Golgi;nucleus,"Pf00270, Pf00271, Pf08147",79039,hsa:79039; Q86YT8; Q8TDD1; Q9BRZ1,ENSG00000123064,,,0,0,96.03,,,,n/a,n/a,n/a,High,High,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Peak Found,n/a,n/a,n/a,n/a,n/a,n/a,1,,FALSE,,137.13,,,7.09,signal transduction activity or receptor binding;other molecular function,0,
Master Protein,High,Q8TAD8,SNIP1,Smad nuclear-interacting protein 1 OS=Homo sapiens OX=9606 GN=SNIP1 PE=1 SV=1,1,1,100,0.01,,,6.64,-6.64,,,1.00E-17,1.00E-17,,,1.85E+04,,,,2,,,,,,,1.00E+04,3.43E+04,,,,,,,,,,,,,,,,,,,1.00E+04,1.77E+03,,,,,,,,,,,,,,,,0.001,FALSE,3.865,4,1,396,45.8,9.99,1,cell organization and biogenesis;RNA metabolism OR transcription;other metabolic processes;signal transduction;other biological processes,cytosol;nucleus,Pf00498,79753,hsa:79753; Q8TAD8; Q96SP9; Q9H9T7,ENSG00000163877,mRNA Splicing - Major Pathway,TGF-beta signaling pathway,2,0,77.55,,,,n/a,n/a,n/a,High,Peak Found,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,,FALSE,,,,,3.03,nucleic acid binding activity,0,
